epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
73,55.5159,0.54034,0.73497,0.81973,1.00199,0.93875,0.84164,0.97747,0.93039,0.5,0.3435,0.48178,0.41549,0.45428,0.73588,1.65911,0.90789,0.000344709,0.000344709,0.000344709
74,56.3075,0.63521,0.88066,0.90946,1.07942,0.93875,0.84164,0.97747,0.93039,0.5,0.3435,0.48178,0.41549,0.45428,0.73588,1.65911,0.90789,0.000337449,0.000337449,0.000337449
75,57.0698,0.57293,1.12375,0.89001,1.03538,0.92886,0.84794,0.99192,0.9376,0.5,0.34866,0.49442,0.40831,0.43449,0.75377,1.56825,0.90887,0.000329859,0.000329859,0.000329859
76,57.8121,0.5539,0.91488,0.87283,1.02333,0.92886,0.84794,0.99192,0.9376,0.5,0.34866,0.49442,0.40831,0.43449,0.75377,1.56825,0.90887,0.000321939,0.000321939,0.000321939
77,58.556,0.54613,1.04055,0.80571,1.00514,0.92886,0.84794,0.99192,0.9376,0.5,0.34866,0.49442,0.40831,0.43449,0.75377,1.56825,0.90887,0.000313689,0.000313689,0.000313689
78,59.3255,0.53007,0.80364,0.80435,1.0245,0.92127,0.88644,0.995,0.9496,0.5,0.38845,0.4975,0.40273,0.41087,0.75825,1.44199,0.89436,0.000305109,0.000305109,0.000305109
79,60.0612,0.44608,0.65445,0.73514,0.97768,0.92127,0.88644,0.995,0.9496,0.5,0.38845,0.4975,0.40273,0.41087,0.75825,1.44199,0.89436,0.000296199,0.000296199,0.000296199
80,60.8065,0.47569,1.08907,0.74848,0.9803,0.92127,0.88644,0.995,0.9496,0.5,0.38845,0.4975,0.40273,0.41087,0.75825,1.44199,0.89436,0.000286959,0.000286959,0.000286959
81,61.6299,0.52261,0.89978,0.84566,0.98661,0.89058,0.89604,0.991,0.95709,0.47558,0.40598,0.4935,0.41189,0.37177,0.65825,1.35429,0.88624,0.000277389,0.000277389,0.000277389
82,62.4176,0.50157,0.80748,0.78511,0.98496,0.89058,0.89604,0.991,0.95709,0.47558,0.40598,0.4935,0.41189,0.37177,0.65825,1.35429,0.88624,0.000267488,0.000267488,0.000267488
83,63.1599,0.51654,0.74875,0.79844,1.00234,0.89058,0.89604,0.991,0.95709,0.47558,0.40598,0.4935,0.41189,0.37177,0.65825,1.35429,0.88624,0.000257258,0.000257258,0.000257258
84,63.9312,0.51071,0.72558,0.78038,0.96116,0.9136,0.95368,0.995,0.95756,0.5,0.46314,0.4975,0.42889,0.35093,0.59134,1.2375,0.87679,0.000246698,0.000246698,0.000246698
85,64.6768,0.47821,0.66315,0.7634,0.94206,0.9136,0.95368,0.995,0.95756,0.5,0.46314,0.4975,0.42889,0.35093,0.59134,1.2375,0.87679,0.000235807,0.000235807,0.000235807
86,65.4256,0.57801,1.49477,0.78467,0.98716,0.9136,0.95368,0.995,0.95756,0.5,0.46314,0.4975,0.42889,0.35093,0.59134,1.2375,0.87679,0.000224587,0.000224587,0.000224587
87,66.1599,0.46361,0.71232,0.72545,0.95601,0.9136,0.95368,0.995,0.95756,0.5,0.46314,0.4975,0.42889,0.35093,0.59134,1.2375,0.87679,0.000213036,0.000213036,0.000213036
88,66.9544,0.54088,0.68664,0.75569,0.95775,0.91572,1,0.995,0.96676,0.4965,0.5,0.4975,0.43444,0.35721,0.56811,1.08628,0.86915,0.000201155,0.000201155,0.000201155
89,67.6913,0.47612,0.61896,0.80696,0.94435,0.91572,1,0.995,0.96676,0.4965,0.5,0.4975,0.43444,0.35721,0.56811,1.08628,0.86915,0.000188944,0.000188944,0.000188944
90,68.4289,0.47574,0.73613,0.79803,0.94161,0.91572,1,0.995,0.96676,0.4965,0.5,0.4975,0.43444,0.35721,0.56811,1.08628,0.86915,0.000176404,0.000176404,0.000176404
91,69.7506,0.5015,0.78382,0.89224,0.97904,0.91572,1,0.995,0.96676,0.4965,0.5,0.4975,0.43444,0.35721,0.56811,1.08628,0.86915,0.000163533,0.000163533,0.000163533
92,70.7097,0.49218,0.68218,0.97103,1.01789,0.92384,0.97797,0.995,0.95108,0.49706,0.5,0.4975,0.43297,0.35284,0.57896,1.02459,0.86743,0.000150332,0.000150332,0.000150332
93,71.5244,0.42009,0.73039,0.78962,0.91357,0.92384,0.97797,0.995,0.95108,0.49706,0.5,0.4975,0.43297,0.35284,0.57896,1.02459,0.86743,0.000136801,0.000136801,0.000136801
94,72.3861,0.44735,0.72128,0.82115,0.97294,0.92384,0.97797,0.995,0.95108,0.49706,0.5,0.4975,0.43297,0.35284,0.57896,1.02459,0.86743,0.00012294,0.00012294,0.00012294
95,73.1558,0.46909,0.58409,0.96021,0.99404,0.92384,0.97797,0.995,0.95108,0.49706,0.5,0.4975,0.43297,0.35284,0.57896,1.02459,0.86743,0.000108748,0.000108748,0.000108748
96,73.8662,0.44166,0.72082,0.94628,1.03701,0.92521,0.97453,0.995,0.95409,0.49648,0.5,0.4975,0.42107,0.35075,0.62975,0.97405,0.86377,9.42272e-05,9.42272e-05,9.42272e-05
97,74.5403,0.43244,0.6732,0.78172,0.94465,0.92521,0.97453,0.995,0.95409,0.49648,0.5,0.4975,0.42107,0.35075,0.62975,0.97405,0.86377,7.93759e-05,7.93759e-05,7.93759e-05
98,75.2589,0.42001,0.69984,0.8229,0.94731,0.92521,0.97453,0.995,0.95409,0.49648,0.5,0.4975,0.42107,0.35075,0.62975,0.97405,0.86377,6.41945e-05,6.41945e-05,6.41945e-05
99,75.9523,0.38769,0.68983,0.74583,0.91283,0.92521,0.97453,0.995,0.95409,0.49648,0.5,0.4975,0.42107,0.35075,0.62975,0.97405,0.86377,4.86831e-05,4.86831e-05,4.86831e-05
100,76.6633,0.42242,0.78277,0.72111,0.92764,0.92473,0.97511,0.995,0.94709,0.49362,0.5,0.4975,0.41106,0.34939,0.68286,0.9216,0.86639,3.28416e-05,3.28416e-05,3.28416e-05
