epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
117,90.6661,0.49818,0.92597,0.62107,0.95248,0.98496,0.99666,0.995,0.90009,0.4984,0.5,0.4975,0.38719,0.47385,0.84283,0.62057,0.91402,0.00102887,0.00102887,0.00102887
118,91.4288,0.48689,0.72055,0.63513,0.9395,0.98496,0.99666,0.995,0.90009,0.4984,0.5,0.4975,0.38719,0.47385,0.84283,0.62057,0.91402,0.00102337,0.00102337,0.00102337
119,92.1374,0.5363,0.8429,0.65183,0.98437,0.98496,0.99666,0.995,0.90009,0.4984,0.5,0.4975,0.38719,0.47385,0.84283,0.62057,0.91402,0.00101787,0.00101787,0.00101787
120,92.8768,0.48353,0.76388,0.59507,0.91921,0.98387,1,0.995,0.8981,0.47746,0.47917,0.4682,0.35196,0.4686,1.08561,0.59245,0.89794,0.00101237,0.00101237,0.00101237
121,93.6193,0.44742,0.80986,0.60344,0.92898,0.98387,1,0.995,0.8981,0.47746,0.47917,0.4682,0.35196,0.4686,1.08561,0.59245,0.89794,0.00100687,0.00100687,0.00100687
122,94.5353,0.51312,0.75733,0.63732,0.96984,0.98387,1,0.995,0.8981,0.47746,0.47917,0.4682,0.35196,0.4686,1.08561,0.59245,0.89794,0.00100137,0.00100137,0.00100137
123,95.3699,0.59994,1.02755,0.69797,1.00743,0.98387,1,0.995,0.8981,0.47746,0.47917,0.4682,0.35196,0.4686,1.08561,0.59245,0.89794,0.000995866,0.000995866,0.000995866
124,96.1419,0.50432,0.79947,0.61864,0.94368,0.9764,1,0.995,0.95105,0.47781,0.47917,0.47175,0.36895,0.40364,1.1237,0.55227,0.87733,0.000990365,0.000990365,0.000990365
125,96.8798,0.49403,0.92722,0.61943,0.96281,0.9764,1,0.995,0.95105,0.47781,0.47917,0.47175,0.36895,0.40364,1.1237,0.55227,0.87733,0.000984864,0.000984864,0.000984864
126,97.6264,0.49176,0.78213,0.63541,0.98115,0.9764,1,0.995,0.95105,0.47781,0.47917,0.47175,0.36895,0.40364,1.1237,0.55227,0.87733,0.000979362,0.000979362,0.000979362
127,98.3524,0.50985,0.89762,0.62058,0.97917,0.9764,1,0.995,0.95105,0.47781,0.47917,0.47175,0.36895,0.40364,1.1237,0.55227,0.87733,0.000973861,0.000973861,0.000973861
128,99.1448,0.49115,0.80334,0.61394,0.97094,0.97407,1,0.995,0.91892,0.4983,0.5,0.4975,0.40667,0.39234,0.82671,0.53414,0.87397,0.00096836,0.00096836,0.00096836
129,99.9157,0.58501,1.1328,0.76629,1.03534,0.97407,1,0.995,0.91892,0.4983,0.5,0.4975,0.40667,0.39234,0.82671,0.53414,0.87397,0.000962859,0.000962859,0.000962859
